,POS,PLAYER,Mat ,Inns ,NO ,Runs ,HS ,Avg ,BF ,SR ,100,50,4s ,6s ,POS,PLAYER,Pts ,Mat ,Wkts ,Dots ,4s ,6s ,Catches ,Stumpings ,POS,PLAYER,Distance (m) 
71,72,Shreyas Gopal ,14.0,5.0,1.0,37.0,23* ,9.25,39.0,94.87,0.0,0.0,3.0,0.0,71,Rahul Tripathi ,95.0,11.0,0.0,0.0,21.0,10.0,3.0,0.0,72,AB de Villiers ,90.0
72,73,Ravichandran Ashwin ,15.0,6.0,3.0,37.0,14* ,12.33,34.0,108.82,0.0,0.0,3.0,1.0,72,Arshdeep Singh ,92.5,8.0,9.0,56.0,0.0,0.0,2.0,0.0,73,AB de Villiers ,90.0
73,74,Rashid Khan ,16.0,7.0,3.0,35.0,14,8.75,30.0,116.66,0.0,0.0,3.0,2.0,73,Khaleel Ahmed ,92.5,7.0,8.0,62.0,0.0,0.0,1.0,0.0,74,Jos Buttler ,90.0
74,75,Chris Morris ,9.0,5.0,1.0,34.0,25* ,8.5,21.0,161.9,0.0,0.0,2.0,3.0,74,Isuru Udana ,90.5,10.0,8.0,49.0,1.0,1.0,3.0,0.0,75,Sanju Samson ,90.0
75,76,Sarfaraz Khan ,5.0,3.0,1.0,33.0,14* ,16.5,29.0,113.79,0.0,0.0,5.0,0.0,75,Shimron Hetmyer ,87.0,12.0,0.0,0.0,11.0,12.0,7.0,0.0,76,Vijay Shankar ,90.0
76,77,Narayan Jagadeesan ,5.0,2.0,0.0,33.0,33,16.5,29.0,113.79,0.0,0.0,4.0,0.0,76,Dinesh Karthik ,86.5,14.0,0.0,0.0,20.0,4.0,9.0,0.0,77,Ishan Kishan ,90.0
77,78,Murali Vijay ,3.0,3.0,0.0,32.0,21,10.66,43.0,74.41,0.0,0.0,4.0,0.0,77,Wriddhiman Saha ,85.0,4.0,0.0,0.0,24.0,5.0,2.0,1.0,78,Ishan Kishan ,90.0
78,79,Alex Carey ,3.0,3.0,1.0,32.0,14* ,16,29.0,110.34,0.0,0.0,0.0,1.0,78,Lockie Ferguson ,82.5,5.0,6.0,48.0,4.0,1.0,0.0,0.0,79,Rohit Sharma ,90.0
79,80,Chris Jordan ,9.0,5.0,2.0,29.0,13,9.66,31.0,93.54,0.0,0.0,2.0,0.0,79,Glenn Maxwell ,80.0,13.0,3.0,37.0,9.0,0.0,4.0,0.0,80,Sam Curran ,90.0
80,81,Navdeep Saini ,13.0,3.0,2.0,27.0,12* ,27,27.0,100.0,0.0,0.0,3.0,0.0,80,Sheldon Cottrell ,80.0,6.0,6.0,59.0,0.0,0.0,0.0,0.0,81,Marcus Stoinis ,90.0
81,82,Nathan Coulter-Nile ,7.0,2.0,1.0,25.0,24* ,25,15.0,166.66,0.0,0.0,4.0,0.0,81,Robin Uthappa ,79.5,12.0,0.0,0.0,19.0,7.0,3.0,0.0,82,Manish Pandey ,90.0
82,83,Kamlesh Nagarkoti ,10.0,6.0,3.0,22.0,8* ,7.33,31.0,70.96,0.0,0.0,1.0,0.0,82,Shivam Dube ,77.0,11.0,4.0,14.0,5.0,9.0,2.0,0.0,83,KL Rahul ,89.0
83,84,Tushar Deshpande ,5.0,2.0,1.0,21.0,20* ,21,12.0,175.0,0.0,0.0,2.0,1.0,83,Kamlesh Nagarkoti ,76.0,10.0,5.0,46.0,1.0,0.0,4.0,0.0,84,Nicholas Pooran ,89.0
84,85,Harshal Patel ,5.0,2.0,0.0,21.0,16,10.5,24.0,87.5,0.0,0.0,2.0,0.0,84,Vijay Shankar ,76.0,7.0,4.0,31.0,10.0,1.0,1.0,0.0,85,Jos Buttler ,89.0
85,86,Jimmy Neesham ,5.0,3.0,1.0,19.0,10* ,9.5,18.0,105.55,0.0,0.0,0.0,1.0,85,Ruturaj Gaikwad ,71.0,6.0,0.0,0.0,16.0,6.0,4.0,0.0,86,KL Rahul ,89.0
86,87,Tom Banton ,2.0,2.0,0.0,18.0,10,9,20.0,90.0,0.0,0.0,1.0,1.0,86,Lungi Ngidi ,66.5,4.0,9.0,35.0,0.0,0.0,0.0,0.0,87,Tom Curran ,89.0
87,88,Mohammed Siraj ,9.0,3.0,2.0,17.0,10* ,17,14.0,121.42,0.0,0.0,2.0,0.0,87,Abdul Samad ,66.0,12.0,1.0,9.0,8.0,6.0,5.0,0.0,88,Manish Pandey ,89.0
88,89,Karun Nair ,4.0,3.0,1.0,16.0,15* ,8,14.0,114.28,0.0,0.0,2.0,0.0,88,Tom Curran ,61.0,5.0,3.0,25.0,5.0,3.0,1.0,0.0,89,Aaron Finch ,89.0
89,90,Simran Singh ,2.0,2.0,0.0,15.0,11,7.5,15.0,100.0,0.0,0.0,2.0,0.0,89,Dwayne Bravo ,58.5,6.0,6.0,35.0,0.0,0.0,1.0,0.0,90,Manish Pandey ,89.0
90,91,Isuru Udana ,10.0,4.0,1.0,15.0,10* ,5,11.0,136.36,0.0,0.0,1.0,1.0,90,Piyush Chawla ,58.0,7.0,6.0,37.0,0.0,0.0,0.0,0.0,91,Ambati Rayudu ,89.0
91,92,James Pattinson ,10.0,2.0,1.0,15.0,11,15,13.0,115.38,0.0,0.0,2.0,0.0,91,Shahbaz Nadeem ,53.5,7.0,5.0,31.0,1.0,0.0,1.0,0.0,92,KL Rahul ,89.0
92,93,Kuldeep Yadav ,5.0,2.0,1.0,13.0,12,13,21.0,61.9,0.0,0.0,1.0,0.0,92,Prasidh Krishna ,51.5,6.0,4.0,35.0,0.0,0.0,1.0,0.0,93,AB de Villiers ,89.0
93,94,Imran Tahir ,3.0,1.0,1.0,13.0,13* ,- ,10.0,130.0,0.0,0.0,2.0,0.0,93,Jaydev Unadkat ,51.5,7.0,4.0,35.0,0.0,0.0,1.0,0.0,94,Rahul Tewatia ,89.0
94,95,Shardul Thakur ,9.0,2.0,1.0,12.0,11,12,21.0,57.14,0.0,0.0,0.0,0.0,94,Priyam Garg ,51.5,14.0,0.0,0.0,9.0,4.0,6.0,0.0,95,Rishabh Pant ,89.0
95,96,Moeen Ali ,3.0,3.0,0.0,12.0,11,4,16.0,75.0,0.0,0.0,1.0,0.0,95,Tushar Deshpande ,50.5,5.0,3.0,29.0,2.0,1.0,1.0,0.0,96,Eoin Morgan ,89.0
96,97,Sandeep Sharma ,13.0,5.0,3.0,12.0,9,6,15.0,80.0,0.0,0.0,1.0,0.0,96,Bhuvneshwar Kumar ,50.5,4.0,3.0,40.0,0.0,0.0,0.0,0.0,97,Sanju Samson ,89.0
97,98,Mohammad Nabi ,1.0,1.0,1.0,11.0,11* ,- ,8.0,137.5,0.0,0.0,2.0,0.0,97,Ajinkya Rahane ,47.0,9.0,0.0,0.0,12.0,2.0,4.0,0.0,98,Sam Curran ,89.0
